Hygenic Lab East,3015
Hygenic Lab West,3014
IDT,3020
IMU,125
Intermodal,5000
"Iowa Ave - English Philosophy Building, IMU",145
Iowa Ave & Madison St,7090
Iowa City Airport,8020
Iowa City Community School District Office,7510
IREH Temporary Stop,3011
IRL East,3073
IRL West,3072
Irving Ave & Shannon Dr,8334
Jefferson St & Dodge St,7403
Jefferson St & Governor St,7404
Jefferson St & Linn St,7401
Jefferson St & Van Buren St,7123
Jensen St & Jensen Court,8333
Johnson St & Bloomington St,7444
Keokuk St & Cross Park Ave,7028
Kimble Rd and Kimble Ave,7529
Kirkwood Ave & Dodge St,7108
Kirkwood Ave & Franklin St,7114
Kirkwood Ave & Gilbert St,7013
Kirkwood Ave & Howell St,7112
Kirkwood Ave & Keokuk St,7110
Kirkwood Ave & Roosevelt St,7116
Kirkwood Ave & Summit St,7113
Kirkwood Community College From Downtown,7120
Kirkwood Community College to Downtown,7121
Lakeside Dr & Hwy 6,7049
Lakeside Dr & Miami Dr,7054
Lakeside Dr & Nevada Ave,7053
Lakeside Dr & Whispering Prairie Ave,7052
Laredo Dr & Santa Fe Dr,8342
Laura Dr & Foster Rd,8080
Law Building,2085
Lee St & Highwood St,8058
Lee St & Park Rd,8060
Levitt Center,2121
LGBTQ & Cultural Resource Centers,2083
Liberty Ln & 12th Ave,5181
Liberty Ln & Holiday Rd,5190
Lower City Park,8070
Lower City Park entrance,8071
Lower Muscatine Ave & Fairmeadows Blvd,7125
Lower Muscatine Ave & Mall Dr,7122
Lower Muscatine Ave & Pine St,7117
Lower Muscatine Ave & Spruce St,7119
Lower West Branch Rd & Middlebury Rd,7347
Lynncrest Dr & Holiday Rd,5121
Lynncrest Dr & Holiday Rd.,5120
Lynncrest Dr & North Ridge Dr,5130
Macbride Hall,120
Madison St @ UI Lindquist Center,7079
Madison St & Washington St,7081
Madison St- IMU,7454
Madison St-UI Main Library & EPB,7455
Madison St/Lot 11,1064
Main Library,1050
Market St & Dodge St,7441
Market St & Governor St,7440
Market St & Linn St,7206
Mayflower Hall,167
MediRevv,3021
Melrose Ave @ IC Fire Station #2,8210
Melrose Ave & Dublin Dr,8302
Melrose Ave & Emerald St,8209
Melrose Ave & Finkbine Ln,8215
Melrose Ave & Galway Dr,8305
Melrose Ave & George St,8107
Melrose Ave & Golfview Ave,8105
Melrose Ave & Hawkeye Dr,8300
Melrose Ave & Hawkins Dr,8104
Melrose Ave & Kennedy Parkway,8304
Melrose Ave & Koser Ave,8106
Melrose Ave & Macbride Rd,8213
